rank,keyword,substring_count,num_speakers,source
1,อย่าง,16860,90,top50_frequency
2,เรา,14570,89,top50_frequency
3,มา,13280,90,emergency_kws
4,กิน,9545,89,top50_frequency
5,แต่,9495,90,top50_frequency
6,อา,8745,90,top50_frequency
7,ถ้า,7350,90,top50_frequency
8,เหมือน,5900,88,top50_frequency
9,ชอบ,5740,90,top50_frequency
10,ต้อง,4955,88,top50_frequency
11,มันก็,3305,86,top50_frequency
12,ด้วย,3220,84,emergency_kws
13,พวก,3165,81,top50_frequency
14,เราก็,3010,85,top50_frequency
15,แบบว่า,2975,67,top50_frequency
16,พอ,2505,84,top50_frequency
17,หรือว่า,2240,78,top50_frequency
18,รู้สึกว่า,2215,69,top50_frequency
19,บางที,1780,73,top50_frequency
20,ครับผม,1640,28,top50_frequency
21,ใช่มั้ย,1330,67,top50_frequency
22,ก็แบบ,1265,62,top50_frequency
23,เป็นแบบ,1065,63,top50_frequency
24,เหรอ,870,52,top50_frequency
25,ไปเที่ยว,825,48,top50_frequency
26,คือแบบ,810,46,top50_frequency
27,แล้วแบบ,710,46,top50_frequency
28,ซึ่ง,705,48,top50_frequency
29,แต่ถ้า,695,46,top50_frequency
30,Ok,655,51,top50_frequency
31,สวัสดีครับ,575,39,top50_frequency
32,แต่ก็,470,42,top50_frequency
33,ช่วย,455,47,emergency_kws
34,ค่ะก็,425,29,top50_frequency
35,แล้วก็แบบ,355,34,top50_frequency
36,ถ้าแบบ,350,37,top50_frequency
37,ตอนนี้,330,38,emergency_kws
38,นะครับผม,290,11,top50_frequency
39,ถ้าอย่าง,285,20,top50_frequency
40,ปวด,200,16,emergency_kws
41,หมอ,200,25,emergency_kws
42,อื้ม,160,23,top50_frequency
43,เร็ว,160,22,emergency_kws
44,ใช่ค่ะ,155,11,top50_frequency
45,โทร,155,17,emergency_kws
46,เราก็แบบ,150,18,top50_frequency
47,อื๊ม,120,19,top50_frequency
48,ก็เลยรู้สึกว่า,115,15,top50_frequency
49,โรงพยาบาล,95,8,emergency_kws
50,เค้าเรียกอะไรอะ,90,6,top50_frequency
51,แต่ว่าแบบ,90,7,top50_frequency
52,ใช่ก็,90,13,top50_frequency
53,อุ๊ย,85,13,top50_frequency
54,หืม,75,13,top50_frequency
55,เราก็เลยแบบ,75,11,top50_frequency
56,มีค่ะ,75,10,top50_frequency
57,เอิ่ม,70,10,top50_frequency
58,เลือด,65,7,emergency_kws
59,อาฮะ,60,4,top50_frequency
60,อือฮึ,55,2,top50_frequency
61,ล้ม,35,7,emergency_kws
62,หายใจ,25,5,emergency_kws
63,เจ็บ,20,3,emergency_kws
64,อุบัติเหตุ,15,3,emergency_kws
