speaker,vocab_coverage,total_target_tokens,coverage_pct
F02,11,85,20.8
F18,11,65,20.8
M10,10,90,18.9
F16,10,75,18.9
M12,10,70,18.9
M11,10,150,18.9
M08,9,90,17.0
M07,9,60,17.0
F10,9,65,17.0
M04,8,65,15.1
M34,8,40,15.1
M14,7,35,13.2
M23,7,55,13.2
F12,6,30,11.3
F14,6,35,11.3
M06,6,40,11.3
F05,6,40,11.3
F38,5,30,9.4
M05,5,45,9.4
F34,5,25,9.4
F30,5,25,9.4
F06,5,30,9.4
F04,5,50,9.4
F01,5,30,9.4
F15,5,30,9.4
M37,5,30,9.4
F21,4,35,7.5
M02,4,20,7.5
F03,4,50,7.5
F13,4,30,7.5
M01,4,25,7.5
M42,4,25,7.5
F07,3,15,5.7
F43,3,15,5.7
F08,3,25,5.7
M09,3,20,5.7
F22,3,15,5.7
M30,3,15,5.7
F27,3,20,5.7
M35,3,15,5.7
F09,2,15,3.8
F11,2,10,3.8
F17,2,15,3.8
M40,2,15,3.8
M18,2,10,3.8
M33,2,10,3.8
M39,2,10,3.8
M25,2,10,3.8
M22,2,15,3.8
M28,2,10,3.8
F23,2,10,3.8
F28,2,10,3.8
F31,2,10,3.8
F24,2,10,3.8
F36,2,10,3.8
F25,2,10,3.8
F20,1,10,1.9
F47,1,5,1.9
F46,1,5,1.9
F45,1,5,1.9
F44,1,5,1.9
F40,1,5,1.9
F39,1,5,1.9
F33,1,5,1.9
F37,1,5,1.9
F32,1,5,1.9
M15,1,5,1.9
M03,1,5,1.9
F48,1,5,1.9
M32,1,5,1.9
M27,1,5,1.9
M21,1,5,1.9
M38,1,5,1.9
